County,id2,Population,Deaths,rate,high_rate,low_rate
"Bureau County, Illinois",17011,33359,19.0,5.695614376929764e-05,0,0
"Burke County, Georgia",13033,22688,0.0,0.0,0,1
"Burke County, North Carolina",37023,88851,41.0,4.614466916523168e-05,0,0
"Burke County, North Dakota",38013,2198,0.0,0.0,0,1
"Burleigh County, North Dakota",38015,94487,41.0,4.339221268534296e-05,0,0
"Burleson County, Texas",48051,17760,0.0,0.0,0,1
"Burlington County, New Jersey",34005,449284,241.0,5.364090419422904e-05,0,0
"Burnet County, Texas",48053,46243,13.0,2.811236295223061e-05,0,0
"Burnett County, Wisconsin",55013,15213,0.0,0.0,0,1
"Burt County, Nebraska",31021,6546,0.0,0.0,0,1
"Butler County, Alabama",1013,19998,0.0,0.0,0,1
"Butler County, Iowa",19023,14791,0.0,0.0,0,1
"Butler County, Kansas",20015,67025,39.0,5.8187243565833643e-05,0,0
"Butler County, Kentucky",21031,12845,0.0,0.0,0,1
"Butler County, Missouri",29023,42739,19.0,4.445588338519853e-05,0,0
"Butler County, Nebraska",31023,8052,0.0,0.0,0,1
"Butler County, Ohio",39017,377537,193.0,5.112081729737747e-05,0,0
"Butler County, Pennsylvania",42019,186847,69.0,3.6928610039229956e-05,0,0
"Butte County, California",6007,226864,161.0,7.096762818252345e-05,1,0
"Butte County, Idaho",16023,2501,0.0,0.0,0,1
"Butte County, South Dakota",46019,10205,0.0,0.0,0,1
"Butts County, Georgia",13035,23817,0.0,0.0,0,1
"Cabarrus County, North Carolina",37025,201590,84.0,4.166873356813334e-05,0,0
"Cabell County, West Virginia",54011,95987,41.0,4.271411753674977e-05,0,0
"Cache County, Utah",49005,122753,61.0,4.969328651845576e-05,0,0
"Caddo County, Oklahoma",40015,29557,13.0,4.39828128700477e-05,0,0
"Caddo Parish, Louisiana",22017,248851,66.0,2.652189462770895e-05,0,0
"Calaveras County, California",6009,45171,28.0,6.198667286533395e-05,0,0
"Calcasieu Parish, Louisiana",22019,200601,100.0,4.98502001485536e-05,0,0
"Caldwell County, Kentucky",21033,12568,0.0,0.0,0,1
"Caldwell County, Missouri",29025,9062,0.0,0.0,0,1
"Caldwell County, North Carolina",37027,81449,41.0,5.0338248474505516e-05,0,0
"Caldwell County, Texas",48055,41161,10.0,2.4294842204999878e-05,0,0
"Caldwell Parish, Louisiana",22021,10087,0.0,0.0,0,1
"Caledonia County, Vermont",50005,30333,11.0,3.6264134770711766e-05,0,0
"Calhoun County, Alabama",1015,114611,29.0,2.530298138922093e-05,0,0
"Calhoun County, Arkansas",5013,5144,0.0,0.0,0,1
"Calhoun County, Florida",12013,14423,0.0,0.0,0,1
"Calhoun County, Georgia",13037,6324,0.0,0.0,0,1
"Calhoun County, Illinois",17013,4894,0.0,0.0,0,1
"Calhoun County, Iowa",19025,9846,0.0,0.0,0,1
"Calhoun County, Michigan",26025,134386,72.0,5.357700950991919e-05,0,0
"Calhoun County, Mississippi",28013,14610,0.0,0.0,0,1
"Calhoun County, South Carolina",45017,14796,0.0,0.0,0,1
"Calhoun County, Texas",48057,21965,0.0,0.0,0,1
"Calhoun County, West Virginia",54013,7336,0.0,0.0,0,1
"Callahan County, Texas",48059,13820,0.0,0.0,0,1
"Callaway County, Missouri",29027,45078,21.0,4.658591774257953e-05,0,0
"Calloway County, Kentucky",21035,38437,0.0,0.0,0,1
"Calumet County, Wisconsin",55015,49553,20.0,4.036082578249551e-05,0,0
"Calvert County, Maryland",24009,91251,42.0,4.60268928559687e-05,0,0
"Camas County, Idaho",16025,1072,0.0,0.0,0,1
"Cambria County, Pennsylvania",42021,134732,85.0,6.308820473235758e-05,0,0
"Camden County, Georgia",13039,53008,10.0,1.8865076969514034e-05,0,0
"Camden County, Missouri",29029,44497,18.0,4.045216531451559e-05,0,0
"Camden County, New Jersey",34007,510150,362.0,7.095952170930119e-05,1,0
"Camden County, North Carolina",37029,10418,0.0,0.0,0,1
"Cameron County, Pennsylvania",42023,4677,0.0,0.0,0,1
"Cameron County, Texas",48061,422135,108.0,2.5584232532246792e-05,0,0
"Cameron Parish, Louisiana",22023,6882,0.0,0.0,0,1
"Camp County, Texas",48063,12867,0.0,0.0,0,1
"Campbell County, Kentucky",21037,92211,39.0,4.2294303282688614e-05,0,0
"Campbell County, South Dakota",46021,1378,0.0,0.0,0,1
"Campbell County, Tennessee",47013,39714,13.0,3.27340484463917e-05,0,0
"Campbell County, Virginia",51031,54952,12.0,2.1837239772892707e-05,0,0
"Campbell County, Wyoming",56005,48803,28.0,5.737352211954183e-05,0,0
"Canadian County, Oklahoma",40017,136532,62.0,4.5410599712887824e-05,0,0
"Candler County, Georgia",13043,10910,0.0,0.0,0,1
"Cannon County, Tennessee",47015,14027,0.0,0.0,0,1
"Canyon County, Idaho",16027,211698,114.0,5.385029617662897e-05,0,0
"Cape Girardeau County, Missouri",29031,78913,40.0,5.068873316183645e-05,0,0
"Cape May County, New Jersey",34009,94430,54.0,5.718521656253309e-05,0,0
"Carbon County, Montana",30009,10460,0.0,0.0,0,1
"Carbon County, Pennsylvania",42025,63594,47.0,7.390634336572632e-05,1,0
"Carbon County, Utah",49007,20399,10.0,4.9022010882886415e-05,0,0
"Carbon County, Wyoming",56007,15618,0.0,0.0,0,1
"Caribou County, Idaho",16029,6887,0.0,0.0,0,1
"Carlisle County, Kentucky",21039,4855,0.0,0.0,0,1
"Carlton County, Minnesota",27017,35738,14.0,3.917398847165482e-05,0,0
"Caroline County, Maryland",24011,32850,0.0,0.0,0,1
"Caroline County, Virginia",51033,30178,0.0,0.0,0,1
"Carroll County, Arkansas",5015,27646,0.0,0.0,0,1
"Carroll County, Georgia",13045,116261,45.0,3.870601491471775e-05,0,0
"Carroll County, Illinois",17015,14539,0.0,0.0,0,1
"Carroll County, Indiana",18015,19970,0.0,0.0,0,1
"Carroll County, Iowa",19027,20437,0.0,0.0,0,1
"Carroll County, Kentucky",21041,10679,0.0,0.0,0,1
"Carroll County, Maryland",24013,167656,79.0,4.712029393520065e-05,0,0
"Carroll County, Mississippi",28015,10255,0.0,0.0,0,1
"Carroll County, Missouri",29033,8913,0.0,0.0,0,1
"Carroll County, New Hampshire",33003,47289,25.0,5.286641713717778e-05,0,0
